DATE,T5YIFR
2003/1/2,1.98
2003/1/3,1.96
2003/1/6,1.95
2003/1/7,1.96
2003/1/8,2.09
2003/1/9,2.15
2003/1/10,2.1
2003/1/13,2.14
2003/1/14,2.14
2003/1/15,2.19
2003/1/16,2.18
2003/1/17,2.15
2003/1/20,
2003/1/21,2.18
2003/1/22,2.1
2003/1/23,2.14
2003/1/24,2.14
2003/1/27,2.17
2003/1/28,2.15
2003/1/29,2.18
2003/1/30,2.14
2003/1/31,2.13
2003/2/3,2.1
2003/2/4,2.14
2003/2/5,2.19
2003/2/6,2.14
2003/2/7,2.18
2003/2/10,2.2
2003/2/11,2.24
2003/2/12,2.18
2003/2/13,2.2
2003/2/14,2.22
2003/2/17,
2003/2/18,2.15
2003/2/19,2.16
2003/2/20,2.19
2003/2/21,2.21
2003/2/24,2.2
2003/2/25,2.17
2003/2/26,2.14
2003/2/27,2.11
2003/2/28,2.13
2003/3/3,2.09
2003/3/4,2.04
2003/3/5,2.08
2003/3/6,2.13
2003/3/7,2.08
2003/3/10,2.08
2003/3/11,2.08
2003/3/12,2.05
2003/3/13,2.15
2003/3/14,2.09
2003/3/17,2.03
2003/3/18,2.03
2003/3/19,2.07
2003/3/20,1.95
2003/3/21,1.94
2003/3/24,1.94
2003/3/25,1.96
2003/3/26,1.97
2003/3/27,1.99
2003/3/28,1.94
2003/3/31,1.95
2003/4/1,2
2003/4/2,2
2003/4/3,1.98
2003/4/4,1.97
2003/4/7,2.03
2003/4/8,1.97
2003/4/9,2.05
2003/4/10,1.94
2003/4/11,1.92
2003/4/14,1.98
2003/4/15,1.98
2003/4/16,1.94
2003/4/17,1.94
2003/4/18,
2003/4/21,1.93
2003/4/22,1.97
2003/4/23,1.98
2003/4/24,1.96
2003/4/25,2
2003/4/28,2.04
2003/4/29,2.01
2003/4/30,2.01
2003/5/1,2.2
2003/5/2,2.16
2003/5/5,1.96
2003/5/6,1.92
2003/5/7,2.02
2003/5/8,2.06
2003/5/9,1.98
2003/5/12,1.99
2003/5/13,1.99
2003/5/14,2
2003/5/15,1.95
2003/5/16,1.93
2003/5/19,1.88
2003/5/20,1.95
2003/5/21,1.98
2003/5/22,1.96
2003/5/23,1.93
2003/5/26,
2003/5/27,1.97
2003/5/28,1.99
2003/5/29,1.93
2003/5/30,1.94
2003/6/2,1.91
2003/6/3,1.91
2003/6/4,1.89
2003/6/5,1.87
2003/6/6,1.89
2003/6/9,1.9
2003/6/10,1.87
2003/6/11,1.82
2003/6/12,1.9
2003/6/13,1.87
2003/6/16,1.83
2003/6/17,1.79
2003/6/18,1.8
2003/6/19,1.83
2003/6/20,1.87
2003/6/23,1.86
2003/6/24,1.85
2003/6/25,1.89
2003/6/26,1.93
2003/6/27,1.88
2003/6/30,1.83
2003/7/1,1.83
2003/7/2,1.77
2003/7/3,1.72
2003/7/4,
2003/7/7,1.76
2003/7/8,1.85
2003/7/9,2
2003/7/10,2.07
2003/7/11,2.14
2003/7/14,2.17
2003/7/15,2.23
2003/7/16,2.22
2003/7/17,2.29
2003/7/18,2.27
2003/7/21,2.33
2003/7/22,2.37
2003/7/23,2.35
2003/7/24,2.37
2003/7/25,2.4
2003/7/28,2.36
2003/7/29,2.38
2003/7/30,2.31
2003/7/31,2.41
2003/8/1,2.33
2003/8/4,2.3
2003/8/5,2.33
2003/8/6,2.24
2003/8/7,2.24
2003/8/8,2.26
2003/8/11,2.32
2003/8/12,2.35
2003/8/13,2.46
2003/8/14,2.45
2003/8/15,2.46
2003/8/18,2.44
2003/8/19,2.41
2003/8/20,2.44
2003/8/21,2.42
2003/8/22,2.39
2003/8/25,2.41
2003/8/26,2.41
2003/8/27,2.35
2003/8/28,2.28
2003/8/29,2.33
2003/9/1,
2003/9/2,2.36
2003/9/3,2.37
2003/9/4,2.39
2003/9/5,2.39
2003/9/8,2.4
2003/9/9,2.38
2003/9/10,2.3
2003/9/11,2.34
2003/9/12,2.3
2003/9/15,2.33
2003/9/16,2.26
2003/9/17,2.23
2003/9/18,2.23
2003/9/19,2.19
2003/9/22,2.26
2003/9/23,2.26
2003/9/24,2.2
2003/9/25,2.19
2003/9/26,2.19
2003/9/29,2.21
2003/9/30,2.16
2003/10/1,2.16
2003/10/2,2.21
2003/10/3,2.21
2003/10/6,2.25
2003/10/7,2.29
2003/10/8,2.29
2003/10/9,2.32
2003/10/10,2.33
2003/10/13,
2003/10/14,2.38
2003/10/15,2.44
2003/10/16,2.44
2003/10/17,2.47
2003/10/20,2.5
