all,LM,GI,HW
abide,able,abide,positive 
ability,abundance,ability,positives 
able,abundant,able,success 
abound,acclaimed,abound,successes 
absolute#1,accomplish,absolve,successful 
absolute#2,accomplished,absorbent,succeed 
absolve,accomplishes,absorption,succeeds 
absorbent,accomplishing,abundance,succeeding
absorption,accomplishment,abundant,succeeded 
abundance,accomplishments,accede,accomplish 
abundant,achieve,accentuate,accomplishes 
accede,achieved,accept,accomplishing 
accelerate,achievement,acceptable,accomplished 
acceleration,achievements,acceptance,accomplishment
accentuate,achieves,accessible,accomplishments 
accept,achieving,accession,strong 
acceptable,adequately,acclaim,strength 
acceptance,advancement,acclamation,strengths 
accessible,advancements,accolade,certain 
accession,advances,accommodate,certainty 
acclaim,advancing,accommodation,definite 
acclaimed,advantage,accompaniment,solid 
acclamation,advantaged,accomplish,excellent
accolade,advantageous,accomplishment,good 
accommodate,advantageously,accord#2,leading 
accommodation,advantages,accord#3,achieve 
accompaniment,alliance,accord#5,achieves 
accomplish,alliances,accordance,achieved 
accomplished,assure,accountable,achieving 
accomplishes,assured,accrue,achievement 
accomplishing,assures,accuracy,achievements
accomplishment,assuring,accurate,progress 
accomplishments,attain,accurateness,progressing 
accord#2,attained,achieve,deliver 
accord#3,attaining,achievement,delivers 
accord#5,attainment,acknowledgement,delivered 
accordance,attainments,acquaint,delivering 
accountable,attains,acquaintance,leader 
accrue,attractive,acquit,leading 
accuracy,attractiveness,acquittal,pleased 
accurate,beautiful,actual#1,reward
accurateness,beautifully,actual#2,rewards 
achieve,beneficial,actuality,rewarding 
achieved,beneficially,adamant,rewarded 
achievement,benefit,adaptability,opportunity 
achievements,benefited,adaptable,opportunities 
achieves,benefiting,adaptation,enjoy 
achieving,benefitted,adaptive,enjoys 
acknowledgement,benefitting,adept,enjoying 
acquaint,best,adeptness,enjoyed
acquaintance,better,adequate,encouraged 
acquire#1,bolstered,adherence,encouraging 
acquire#2,bolstering,adherent,up 
acquisition,bolsters,adhesion,increase 
acquit,boom,adhesive,increases 
acquittal,booming,adjunct,increasing 
act#1,boost,adjust#2,increased 
act#2,boosted,adjustable,rise 
act#3,breakthrough,adjustment,rises 
action,breakthroughs,admirable,rising
active#1,brilliant,admiration,rose 
actual#1,charitable,admire,risen 
actual#2,collaborate,admirer,improve 
actuality,collaborated,admit#1,improves 
adamant,collaborates,admit#2,improving 
adapt,collaborating,admit#3,improved 
adaptability,collaboration,admittance,improvement 
adaptable,collaborations,adorable,improvements 
adaptation,collaborative,adore,strengthen
adaptive,collaborator,adorn,strengthens 
add#1,collaborators,adornment,strengthening 
addition#2,compliment,adroit,strengthened 
additional,complimentary,adroitly,stronger 
adept,complimented,adulation,strongest 
adeptness,complimenting,adult#2,better 
adequate,compliments,advance#1,best 
adequately,conclusive,advance#2,more 
adherence,conclusively,advance#3,most 
adherent,conducive,advancement,above
adhesion,confident,advantage,record 
adhesive,constructive,advantageous,high 
adjudication,constructively,advent,higher 
adjunct,courteous,adventuresome,highest 
adjust#1,creative,adventurous,greater 
adjust#2,creatively,advisable,greatest 
adjustable,creativeness,advocacy,larger 
adjustment,creativity,affability,largest 
administer,delight,affable,grow 
administration#1,delighted,affection,grows 
administration#2,delightful,affectionate,growing 
administrative,delightfully,affiliate,grew 
administrator,delighting,affiliation,grown
admirable,delights,affinity,growth 
admiration,dependability,affirm,expand 
admire,dependable,affirmation,expands 
admirer,desirable,affirmative,expanding 
admit#1,desired,affix,expanded 
admit#2,despite,affluence,expansion 
admit#3,destined,affluent,exceed 
admittance,diligent,afloat,exceeds 
adorable,diligently,aggregate,exceeded
adore,distinction,aggregation,exceeding 
adorn,distinctions,agile,beat 
adornment,distinctive,agility,beats 
adroit,distinctively,agreeable,beating
adroitly,distinctiveness,agreement,
adulation,dream,aid#1,
adult#1,easier,aid#2,
adult#2,easily,alertness,
advance#1,easy,alight,
advance#2,effective,alive,
advance#3,efficiencies,allegiance,
advancement,efficiency,alleviate,
advancements,efficient,alliance,
advances,efficiently,allied,
advancing,empower,allies,
advantage,empowered,allow#1,
advantaged,empowering,allowable,
advantageous,empowers,allowance,
advantageously,enable,allure,
advantages,enabled,ally#1,
advent,enables,almighty,
adventuresome,enabling,altruistic,
adventurous,encouraged,amazement,
advisable,encouragement,amazing,
adviser,encourages,ameliorate,
advisor,encouraging,amenable,
advocacy,enhance,amenity,
advocate#1,enhanced,amiability,
advocate#2,enhancement,amiable,
affability,enhancements,amicable,
affable,enhances,amnesty,
affection,enhancing,amour,
affectionate,enjoy,ample,
affiliate,enjoyable,amplify,
affiliation,enjoyably,amply,
affinity,enjoyed,amuse,
affirm,enjoying,amusement,
affirmation,enjoyment,angel,
affirmative,enjoys,angelic,
affix,enthusiasm,anoint,
affluence,enthusiastic,apocalypse,
affluent,enthusiastically,appeal#3,
afford#1,excellence,appease,
afford#2,excellent,append,
afloat,excelling,applaud,
agency,excels,applause,
aggregate,exceptional,appoint#1,
aggregation,exceptionally,appoint#2,
agile,excited,appreciable,
agility,excitement,appreciate,
agree#1,exciting,appreciation,
agreeable,exclusive,appreciative,
agreement,exclusively,apprehend,
aid#1,exclusiveness,approach#1,
aid#2,exclusives,approach#2,
air#4,exclusivity,appropriate#1,
alert,exemplary,approval,
alertness,fantastic,approve#1,
alight,favorable,approve#2,
alive,favorably,apt,
allegiance,favored,aptitude,
alleviate,favoring,arbiter,
alliance,favorite,arbitrate,
alliances,favorites,arbitration,
allied,friendly,ardent,
allies,gain,arisen,
allot,gained,aristocracy,
allow#1,gaining,aristocrat,
allowable,gains,aristocratic,
allowance,good,arrest#3,
allure,great,art#1,
ally#1,greater,art#4,
almighty,greatest,ascribe,
alter,greatly,aspiration,
altruistic,greatness,aspire,
amazement,happiest,assent,
amazing,happily,assertion,
ambassador,happiness,asset,
ambition,happy,assist#1,
ambitious,highest,assist#2,
ameliorate,honor,assistance,
amenable,honorable,assistant,
amenity,honored,associate#1,
amiability,honoring,associate#2,
amiable,honors,associate#3,
amicable,ideal,association#1,
amnesty,impress,association#2,
amour,impressed,assurance,
ample,impresses,assure#1,
amplify,impressing,assure#2,
amply,impressive,assure#3,
amuse,impressively,assuredly,
amusement,improve,astound,
anchor#2,improved,astute,
angel,improvement,athletic,
angelic,improvements,attachment,
anoint,improves,attain,
apocalypse,improving,attainment,
appeal#3,incredible,attend#1,
appease,incredibly,attendance,
append,influential,attentive,
applaud,informative,attract,
applause,ingenuity,attraction,
appoint#1,innovate,attractive,
appoint#2,innovated,attractiveness,
appraisal,innovates,attune,
appreciable,innovating,audible,
appreciate,innovation,augment,
appreciation,innovations,augmentation,
appreciative,innovative,auspicious,
apprehend,innovativeness,authentic,
approach#1,innovator,authenticity,
approach#2,innovators,authoritative,
appropriate#1,insightful,authority,
appropriate#2,inspiration,autonomous,
appropriation,inspirational,availability,
approval,integrity,avid,
approve#1,invent,award#1,
approve#2,invented,award#2,
apt,inventing,aware,
aptitude,invention,awareness,
arbiter,inventions,back#2,
arbitrate,inventive,back#5,
arbitration,inventiveness,backbone,
ardent,inventor,backer,
arise,inventors,backing,
arisen,leadership,ball#5,
aristocracy,leading,ball#6,
aristocrat,loyal,balmy,
aristocratic,lucrative,baptism,
arm#2,meritorious,baptize,
arm#3,opportunities,bargain,
armed#1,opportunity,basic#1,
armed#2,optimistic,basic#2,
army,outperform,beacon,
arose,outperformed,beauteous,
arrange#1,outperforming,beautify,
arrest#3,outperforms,beauty,
art#1,perfect,befit,
art#4,perfected,befitting,
articulate#2,perfectly,befriend,
