Instrument,Date,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score
360.AX,2020-12-31T00:00:00Z,27.08101803,27.08101803,8.916666667,43.01514357,18.8092709,100,0,40.125,0
360.AX,2021-12-31T00:00:00Z,31.41095817,31.41095817,8.453608247,45.9722103,25.75930715,100,0,38.04123711,0
360.AX,,,,,,,,,,
360.AX,,,,,,,,,,
A.N,2014-10-31T00:00:00Z,82.97878483,82.97878483,71.08013937,88.86012973,80.78771526,93.47826087,75,89.02439024,50
A.N,2015-10-31T00:00:00Z,78.09494089,78.09494089,71.70553936,87.636549,68.51354426,100,77.5,88.7755102,50
A.N,2016-10-31T00:00:00Z,88.47622397,88.47622397,77.13322126,92.9510642,87.87775228,100,93.28358209,91.34615385,50
A.N,2017-10-31T00:00:00Z,87.59506454,87.59506454,77.0606576,92.79237454,85.66799627,100,93.125,91.26984127,50
A.N,2018-10-31T00:00:00Z,89.48925282,89.48925282,78.0457372,94.20181669,88.62468435,100,93.29896907,93.88888889,50
A.N,2019-10-31T00:00:00Z,88.33085514,88.33085514,79.33599669,94.50527254,84.39880617,100,93.85245902,97.05882353,50
A.N,2020-10-31T00:00:00Z,87.57748867,87.57748867,79.95897683,93.59936971,83.20398414,100,95.3125,97.63513514,50
AA.N,2015-12-31T00:00:00Z,,,,,,,,,
AA.N,2016-12-31T00:00:00Z,87.18660476,87.18660476,85.8323299,81.59038566,98.29931336,100,91.95652174,86.92946058,50
AA.N,2017-12-31T00:00:00Z,76.28961567,87.2731089,90.33374756,79.47214941,95.67109931,65.30612245,93.75,95.22900763,50
AA.N,2018-12-31T00:00:00Z,82.25229657,86.61997777,88.38353707,79.12899536,96.36909726,77.88461538,89.92673993,94.83985765,50
AA.N,2019-12-31T00:00:00Z,82.32066227,88.07882454,87.34716318,83.4742467,96.67393058,76.5625,88.46153846,94.03669725,50
AA.N,2020-12-31T00:00:00Z,87.75377092,87.75377092,86.77328916,83.2175692,96.59345871,100,88.00539084,93.21808511,50
AA.N,2021-12-31T00:00:00Z,88.32471948,88.32471948,90.518376,83.31460035,93.39150702,100,94.36450839,95,50
AAIC.N,2016-12-31T00:00:00Z,,,,,,,,,
AAIC.N,2017-12-31T00:00:00Z,15.72747281,15.72747281,0,10.13463892,25.16855217,100,0,0,0
AAIC.N,2018-12-31T00:00:00Z,14.16729772,14.16729772,0,5.516406078,25.72268441,100,0,0,0
AAIC.N,2019-12-31T00:00:00Z,31.55554844,31.55554844,1.630434783,34.67653509,37.8975827,100,7.336956522,0,0
AAIC.N,2020-12-31T00:00:00Z,38.69299914,38.69299914,1.901901902,35.40448343,52.50729714,100,8.558558559,0,0
AAIC.N,,,,,,,,,,
AAL.OQ,2015-12-31T00:00:00Z,57.69082926,70.38165852,58.46912521,78.39261134,71.69154239,45,61.60714286,82.0754717,0
AAL.OQ,2016-12-31T00:00:00Z,69.97223209,70.50001974,58.71212121,74.09985764,78.16694678,69.44444444,74.16666667,69.16666667,0
