,std,std,std,std,std,std,std,std,std,std,mean_change,mean_change,mean_change,mean_change,mean_change,mean_change,std_change,std_change,std_change,std_change,std_change,std_change,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,mean-return,semi-variance (down),kurtosis,skew,VaR (95%)
,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,mean-return,semi-variance (down),kurtosis,skew,VaR (95%),"D(ESG, VaR)",ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,semi-variance (down),VaR (95%),ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,semi-variance (down),VaR (95%),2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0
Symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.AX,-0.4738256531073013,-0.7540300552880758,-0.5927729043034354,-0.4956177478668696,-0.7664552160285607,-0.9109035997335443,0.09615283790316397,-0.48264703468033837,-1.1771197217752807,-1.3620296750086032,0.5453819571876336,-0.7201833736814894,-0.10039198438784899,1.1860409893604575,-0.2421669987428145,0.04506228277562796,0.5453819571876336,-0.7201833736814894,-0.10039198438784899,1.1860409893604575,-0.2421669987428145,0.04506228277562796,-1.1469398393239105,-1.0395537011248681,-0.3129097257450504,-1.758472740247883,0.4994379693037232,-1.7873939481349426,-0.9933349520115974,0.5292508692985957,1.6504060201095216
A.N,-0.8407689804775341,-0.6011887567275885,-0.7704252351620534,-0.7702348406825698,0.7552347370890005,1.5162136045149808,0.9481310256016442,1.5288051680477341,0.9036053260377472,-0.458273455868375,-0.6783081527211605,-0.5461497727182754,-0.5451664565227236,-0.38835989034705737,-1.6496077038854091,0.9552026590877353,-0.6783081527211605,-0.5461497727182754,-0.5451664565227236,-0.38835989034705737,-1.6496077038854091,0.9552026590877353,2.371100560509458,1.912072651031222,2.335392657491312,1.485865806633816,0.7823168123104033,2.0641236073472604,1.8518256707121625,-1.7780340267844295,-1.6195684356446953
AA.N,-0.886004621546948,-0.5329979405963882,-0.48440926234054416,-0.9192068882234496,-0.3961674065682899,1.877990160556863,1.1628595960313541,1.3349864341717013,1.3894143286988685,1.3324166948401945,-0.6530634383852799,-0.5774282735966005,-0.4827993345751086,-0.3703948191797157,0.1148241222093703,-0.23662165881909442,-0.6530634383852799,-0.5774282735966005,-0.4827993345751086,-0.3703948191797157,0.1148241222093703,-0.23662165881909442,2.3813518705563532,2.1951899060712408,1.7918606292099462,2.1604551678449107,-1.043693742952451,1.8555761710776113,2.2643747797682723,-1.9512142176516758,-1.7755219930666883
AAIC.N,-0.10234055166294709,-0.7704116230452804,-0.8329695726912177,0.22574013949057425,-0.37181713032096686,-0.2501554182034101,-1.0409458823478557,-0.8921959405987323,0.11488745632286303,-1.3620296750086032,1.0037624679847357,-0.17042953666104052,-0.42006130306839173,1.242468969963074,-1.1514149349655471,1.2832291125809572,1.0037624679847357,-0.17042953666104052,-0.42006130306839173,1.242468969963074,-1.1514149349655471,1.2832291125809572,-0.47167038583498005,-1.3309992423388912,-0.7113606050958753,-0.06069663436172611,-1.2937910100351893,0.4114621985623529,-0.9470057945635336,-0.0344102083303734,-1.026307748620131
AAL.OQ,-1.046756090154663,-0.793622786498634,-0.9114089982555171,-1.1501443927202943,-0.896893603836644,-1.2319433736201042,-1.2182672395121683,-1.3518171448601366,-1.2451213885042833,1.570924163737203e-16,0.0,7.359405971351459e-17,0.0,0.0,-3.2562739179941535e-18,9.402122669462618e-18,0.0,7.359405971351459e-17,0.0,0.0,-3.2562739179941535e-18,9.402122669462618e-18,4.1320064191634945e-16,0.0,0.0,0.0,-3.831464757888703e-17,0.0,1.1417408438304152e-16,-6.2494835470297e-17,-9.307916120080616e-16
AAN.N,-0.6086317542730271,-0.6434411282473752,-0.782880165131819,-0.1953470835598994,-0.08921569121542115,-0.3802319837177811,-0.9000279864153301,-0.5298907132962022,-1.0211016512986435,-1.3620296750086032,-0.08989549966161615,0.3773626095172619,-0.789890489388705,0.308436279793889,0.9084686236340971,-0.2949252251504255,-0.08989549966161615,0.3773626095172619,-0.789890489388705,0.308436279793889,0.9084686236340971,-0.2949252251504255,-0.11582417027950331,-1.241946222192765,-0.5885345194626892,0.8633576538334189,-0.7953840041828295,-0.13351137241166472,-1.1619730745856292,1.2672712529625825,-0.09870757201328896
AAOI.OQ,-0.5954869467725783,-0.7278798187542852,-0.5068074012752524,-0.34058712602270746,-0.4911720591503591,-0.4321967405334489,-0.013168085805585202,-0.3822841136287687,-0.6843421321079373,-0.1964778580789255,-1.2581764143286562,-0.5613365878825145,-0.9097870421894834,-1.174105154877602,-0.0932726219497169,0.0735816914424035,-1.2581764143286562,-0.5613365878825145,-0.9097870421894834,-1.174105154877602,-0.0932726219497169,0.0735816914424035,-1.7183782261238467,-1.0105237568098626,-1.4148214176922196,-1.5937270500645555,0.2548397127336413,-1.385330494086826,-0.5636910272086008,-0.08892707048614615,1.4398006658108526
AAON.OQ,1.6436782845131095,3.8006595679440114,0.14531893630806578,-0.017958657011845413,-0.49317904611095403,0.5581427737248713,1.119880068862549,1.6105290898309828,-0.07343004359052917,-1.0661841136406125,2.1358042707736176,2.880303573897843,0.6094897514826,-1.1496909808609832,-0.6056775639248773,0.6865517217190669,2.1358042707736176,2.880303573897843,0.6094897514826,-1.1496909808609832,-0.6056775639248773,0.6865517217190669,-0.0013937692662284585,1.4421794538574029,-0.37806034266971567,-1.3405479961358906,0.13255362158001247,0.00026784935062927726,1.550456749999705,-0.9897947442333547,0.23866856647246792
